127.0.0.1 - - [30/Aug/2019:15:03:02 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://wordpress-course.local/wp-admin/theme-install.php?browse=featured" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36"
127.0.0.1 - - [30/Aug/2019:15:03:03 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 26688 "http://wordpress-course.local/wp-admin/theme-install.php?browse=featured" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36"
127.0.0.1 - - [30/Aug/2019:15:03:16 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 78 "http://wordpress-course.local/wp-admin/theme-install.php?browse=featured" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36"
127.0.0.1 - - [30/Aug/2019:15:03:18 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 78 "http://wordpress-course.local/wp-admin/theme-install.php?browse=featured" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36"
127.0.0.1 - - [30/Aug/2019:15:03:50 +0000] "GET /wp-admin/themes.php HTTP/1.0" 200 44321 "http://wordpress-course.local/wp-admin/theme-install.php?browse=featured" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36"
127.0.0.1 - - [30/Aug/2019:15:03:50 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://wordpress-course.local/wp-admin/themes.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36"
127.0.0.1 - - [30/Aug/2019:15:04:51 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 47 "http://wordpress-course.local/wp-admin/themes.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36"
127.0.0.1 - - [30/Aug/2019:15:05:51 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 47 "http://wordpress-course.local/wp-admin/themes.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36"
127.0.0.1 - - [30/Aug/2019:15:07:51 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 47 "http://wordpress-course.local/wp-admin/themes.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36"
127.0.0.1 - - [30/Aug/2019:15:09:05 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 47 "http://wordpress-course.local/wp-admin/themes.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36"
